Step,Instruction
1,"Cut fish fillets into bite-sized pieces."
2,"Chop onion, garlic, and ginger."
3,"Open coconut milk and reserve 1/4 cup for later."
4,"Heat coconut oil in a large skillet over medium heat."
5,"Sauté onion, garlic, and ginger until softened."
6,"Add curry powder, turmeric powder, coriander powder, and red chili powder to the skillet. Stir-fry for 30 seconds, or until fragrant."
7,"Pour in the remaining coconut milk and bring to a simmer."
8,"Add fish fillets to the curry and cook until cooked through, about 5-7 minutes."
9,"Season with salt and pepper to taste."
10,"Stir in the reserved 1/4 cup of coconut milk."
11,"Garnish with cilantro and a squeeze of lime juice."
12,"Serve with rice or naan bread."
