Step,Instruction
1,Preheat your oven to 375 degrees F (190 degrees C) and grease a casserole or souffle dish with butter.
2,"Combine the ingredients (cream, butter, sugar, honey, and salt) in a saucepan over low heat. Cook and stir until the butter melts, typically 2 to 3 minutes. Slowly incorporate cornmeal into the cream mixture until thickened but not boiling, usually 3 to 5 minutes. Transfer the cornmeal mixture to a large bowl."
3,"Incorporate egg yolks one at a time into the cornmeal mixture, ensuring each is fully blended before adding the next. Then, mix in baking powder and white pepper."
4,Incorporate beaten egg whites into the cornmeal-egg yolk mixture until combined; transfer the mixture to the prepared dish.
5,"Bake until the top is golden and the dish is puffed, approximately 35 minutes."
6,"Cornmeal may be substituted with flour or cornstarch, depending on the recipe. Cornstarch is typically my preferred alternative when cornmeal is unavailable."
7,Half-and-half can serve as an alternative to light cream in this recipe.
8,White pepper can be substituted with black pepper if needed.
9,"You can also add bacon, pineapple, or any other toppings of your choice."
10,"You can add any cooked, shredded or pulled meat of your choice."
