Step,Instruction
1,Preheat the oven to 375°F.'
2,'Peel the eggplant and slice it into 1/4-inch thick rounds.'
3,"Prepare three shallow dishes: one with all-purpose flour, one with beaten eggs, and one with breadcrumbs mixed with grated Parmesan cheese, salt, and black pepper.'"
4,"Dredge each eggplant slice in flour, then dip in beaten eggs, and finally coat with breadcrumb mixture.'"
5,'Place the coated eggplant slices on a baking sheet lined with parchment paper.'
6,"Bake in the preheated oven for 20-25 minutes, or until golden brown and crispy.'"
7,"In a baking dish, spread a layer of marinara sauce.'"
8,'Arrange the baked eggplant slices on top of the marinara sauce.'
9,'Top each slice with shredded mozzarella cheese.'
10,"Bake for an additional 15-20 minutes, or until the cheese is melted and bubbly.'"
11,'Garnish with fresh basil leaves before serving.'
