Step,Instruction
1,"Rinse rice in a fine-mesh strainer until water runs clear."
2,"Combine rinsed rice and water in a rice cooker. Cook according to manufacturer's instructions."
3,"While rice cooks, whisk together rice vinegar, sugar, and salt in a small saucepan. Heat over low heat until sugar dissolves. Set aside."
4,"Once rice is cooked, transfer it to a large bowl. Using a wooden spoon, gently fold in the vinegar mixture until evenly distributed."
5,"Let rice cool slightly until it's comfortable to handle (around 100°F)."
6,"Prepare a small bowl of water and have a sheet of plastic wrap or nori seaweed nearby."
7,"Wet your hands with water to prevent sticking. Scoop about 1/3 cup of rice and gently form it into a ball."
8,"Create a well in the center of the rice ball. Add your chosen filling."
9,"Enclose the filling with remaining rice and shape the ball into a triangle or your desired form."
10,"Dip your hands in water again if needed. Gently wrap a strip of nori around the base of the onigiri (optional)."
11,"Sprinkle with furikake seasoning if desired."
12,"Repeat steps 6-11 to form onigiri with remaining rice and fillings."
13,"Serve immediately or wrap individually in plastic wrap for later enjoyment."
