Step,Instruction
1,"Place each pork loin chop between two sheets of plastic wrap. Using a meat mallet or rolling pin, pound the chops to about 1/4-inch thickness."
2,"Season both sides of the pork chops with salt and black pepper."
3,"Prepare three shallow dishes: one with all-purpose flour, one with beaten eggs, and one with panko breadcrumbs."
4,"Dredge each pork chop in the flour, shaking off any excess."
5,"Dip the floured pork chops into the beaten eggs, coating them evenly."
6,"Finally, coat the pork chops with panko breadcrumbs, pressing gently to adhere."
7,"Heat vegetable oil in a large skillet over medium-high heat until hot but not smoking."
8,"Carefully place the breaded pork chops in the skillet, working in batches if necessary to avoid overcrowding."
9,"Fry the pork katsu for about 3-4 minutes on each side, or until they are golden brown and crispy."
10,"Once cooked, transfer the katsu to a paper towel-lined plate to drain excess oil."
11,"Serve the pork katsu hot with shredded cabbage and tonkatsu sauce on the side for dipping."
