Step,Instruction
1,"Preheat your oven to 375°F."
2,"In a large mixing bowl, combine the long-grain white rice, chicken broth, cream of mushroom soup, broccoli florets, half of the cheddar cheese, salt, black pepper, garlic powder, onion powder, and paprika. Mix well until all ingredients are evenly distributed."
3,"Pour the rice mixture into a greased 9x13-inch baking dish, spreading it out evenly."
4,"Slice the boneless, skinless chicken breasts into thin strips or cubes. Place the chicken pieces on top of the rice mixture in an even layer."
5,"Cover the baking dish with aluminum foil and place it in the preheated oven."
6,"Bake the chicken and rice casserole for 45 minutes, or until the rice is cooked through and the chicken is no longer pink in the center."
7,"Remove the foil from the baking dish and sprinkle the remaining cheddar cheese over the top of the casserole."
8,"Return the uncovered casserole to the oven and bake for an additional 10-15 minutes, or until the cheese is melted and bubbly."
9,"Once the casserole is done baking, remove it from the oven and let it cool for a few minutes before serving."
10,"Serve the chicken and rice casserole hot, garnished with chopped parsley if desired. Enjoy this comforting and delicious meal with your favorite side dishes!"
