Step,Instruction
1,"Pat scallops dry with paper towels."
2,"Season scallops with salt and pepper."
3,"Heat olive oil in a large skillet over medium-high heat."
4,"Sear scallops for 2-3 minutes per side, or until golden brown and cooked through."
5,"Remove scallops from skillet and set aside."
6,"Melt butter in the same skillet over medium heat."
7,"Add minced garlic and cook for 30 seconds, or until fragrant."
8,"Squeeze lemon juice into the skillet."
9,"Return scallops to the skillet and toss to coat in garlic butter sauce."
10,"Garnish with chopped parsley and serve immediately."
