Step,Instruction
1,Prepare the fava beans as described in Recipe 1.
2,Rinse the basmati rice under cold water until the water runs clear.
3,In a large skillet or saucepan, heat olive oil over medium heat.
4,Add minced garlic to the skillet and sauté for 1-2 minutes until fragrant.
5,Add the basmati rice to the skillet and sauté for another 2-3 minutes, stirring frequently.
6,Add the vegetable broth to the skillet and bring to a boil.
7,Reduce heat to low, cover, and simmer for 15-20 minutes, or until the rice is tender and the liquid is absorbed.
8,Stir in the cooked fava beans, chopped fresh mint, and chopped fresh dill.
9,Season with salt and black pepper to taste.
10,Cover and let the pilaf sit for 5 minutes before serving to allow the flavors to blend.
11,Fluff with a fork and serve hot as a fragrant and flavorful side dish.
