Step,Instruction
1,"Cut broccoli into florets, carrots into thin slices, and snow peas into halves."
2,"In a small bowl, whisk together soy sauce, oyster sauce, cornstarch, and water to make the sauce."
3,"Heat olive oil in a large skillet or wok over high heat."
4,"Add shrimp and cook until pink and opaque, about 2-3 minutes."
5,"Remove shrimp from skillet and set aside."
6,"Add garlic and ginger to the skillet and cook for 30 seconds, or until fragrant."
7,"Add broccoli, carrots, and snow peas to the skillet and stir-fry for 3-4 minutes, or until tender-crisp."
8,"Return shrimp to the skillet and pour the sauce over the vegetables."
9,"Bring to a boil, then reduce heat and simmer until sauce thickens, about 1 minute."
10,"Stir in sesame oil and green onions."
11,"Serve immediately over rice or noodles."
