step,instruction
1,"Cut chicken breasts into thin strips or bite-sized pieces."
2,"Heat olive oil in a large skillet over medium-high heat until shimmering."
3,"Add onion and cook, stirring occasionally, until softened (about 4 minutes)."
4,"Add garlic and cook for 30 seconds more, until fragrant."
5,"Add chicken strips and cook, stirring occasionally, until golden brown on all sides (about 5-7 minutes)."
6,"Stir in chili powder, cumin, smoked paprika, oregano, salt, and black pepper. Cook for 1 minute to toast the spices."
7,"Pour in chicken broth and lime juice. Bring to a simmer, scraping up any browned bits from the bottom of the pan."
8,"Reduce heat to medium-low and simmer for 5-7 minutes, or until the chicken is cooked through and the sauce has thickened slightly."
9,"While the chicken cooks, warm corn tortillas according to package instructions (microwave, stovetop, etc.)."
10,"Assemble tacos by filling each tortilla with chicken and sauce. Top with shredded cheese, chopped cilantro, and your desired taco toppings (chopped onion, salsa, avocado slices, etc.)."
11,"Serve immediately and enjoy!"
