Step,Instruction
1,"Press tofu to remove excess water. Cut into cubes."
2,"Cut broccoli into florets, carrots into thin slices, and snap peas into halves."
3,"Chop onion and garlic."
4,"In a small bowl, combine soy sauce, oyster sauce, cornstarch, water, rice vinegar, and brown sugar."
5,"Heat sesame oil in a large skillet or wok over high heat."
6,"Add tofu and cook until golden brown on all sides."
7,"Remove tofu from skillet and set aside."
8,"Add onion and garlic to the skillet and cook until fragrant."
9,"Add broccoli, carrots, and snap peas and stir-fry for 3-4 minutes, or until tender-crisp."
10,"Return tofu to the skillet and pour the sauce over the vegetables."
11,"Bring to a boil, then reduce heat and simmer until sauce thickens."
12,"Season with salt and pepper to taste."
13,"Serve immediately over rice or noodles."
