Step,Instruction
1,"Preheat oven to 400 degrees Fahrenheit."
2,"Press tofu to remove excess water, then cut into cubes."
3,"Combine cornstarch and soy sauce in a bowl. Add tofu cubes and toss to coat."
4,"In a small saucepan, combine brown sugar, rice vinegar, water, garlic, and ginger. Bring to a simmer until sugar dissolves."
5,"Line a baking sheet with parchment paper."
6,"Arrange tofu cubes on the prepared baking sheet."
7,"Bake for 20-25 minutes, or until golden brown and crispy."
8,"While tofu bakes, stir in sesame oil to the teriyaki sauce."
9,"Toss cooked tofu in teriyaki sauce to coat."
10,"Serve immediately."
