step,instruction
1,"Marinate the Chicken: In a medium bowl, toss the cubed chicken with 1 tablespoon of cornstarch, 1 tablespoon of soy sauce, Shaoxing wine (or sherry) if using, and a pinch of white pepper. Let the chicken marinate for at least 15 minutes, or up to 30 minutes for extra tender chicken."
2,"Prepare the Coating: In a shallow dish, whisk together the remaining 1.5 tablespoons of cornstarch and the all-purpose flour. In another shallow dish, whisk the eggs with a splash of water. In a separate bowl, prepare half of the toasted sesame seeds for coating the chicken."
3,"Heat the Oil: Heat enough vegetable oil in a large pot or Dutch oven to a depth of 2-3 inches to 350 degrees Fahrenheit (175 degrees Celsius)."
4,"Triple Coat the Chicken: Dip each piece of marinated chicken in the egg mixture, then dredge it in the cornstarch-flour mixture. Next, coat the chicken generously in the toasted sesame seeds. Repeat the dipping, dredging, and sesame seed coating process for a crispy, sesame-rich crust (optional)."
5,"Fry the Chicken: Carefully add the chicken pieces in batches to the hot oil to avoid overcrowding the pot. Fry for 2-3 minutes per side, or until golden brown and cooked through (165 degrees Fahrenheit internal temperature)."
6,"Drain the Chicken: Transfer the fried chicken to a wire rack placed over a paper towel-lined plate to drain excess oil."
7,"Make the Sesame Sauce: In a medium saucepan, whisk together the honey, rice vinegar, ketchup, remaining 3 tablespoons of soy sauce, garlic, ginger, and red pepper flakes (optional). Bring the sauce to a simmer over medium heat, stirring occasionally, until the sauce thickens slightly."
8,"Return the Chicken: Add the fried chicken back to the pan with the simmering sesame sauce. Toss gently to coat the chicken in the sauce."
9,"Heat Through: Simmer for an additional 1-2 minutes, allowing the sauce to thicken slightly and coat the chicken."
10,"Garnish and Serve: Sprinkle with the remaining toasted sesame seeds and garnish with chopped green onions. Serve immediately with steamed rice. Enjoy your delicious homemade sesame chicken!**"
