Step,Instruction
1,Preheat the oven to 400°F (200°C).
2,Scrub the beets and trim off the tops and roots. Peel if desired.
3,Cut the beets into wedges or cubes and place them on a baking sheet.
4,Drizzle olive oil over the beets and toss to coat evenly.
5,"Roast in the preheated oven for 25-30 minutes, or until the beets are tender, stirring halfway through cooking."
6,"In a small bowl, whisk together balsamic vinegar and honey."
7,Drizzle the balsamic-honey mixture over the roasted beets and toss to coat.
8,Season with salt and black pepper to taste.
9,Sprinkle crumbled goat cheese and chopped walnuts over the beets.
10,Garnish with chopped fresh parsley before serving.
11,Enjoy warm or at room temperature as a delightful side dish.
