step,instruction
1,"Preheat oven to 375 degrees Fahrenheit (190 degrees Celsius)."
2,"Cook pasta shells according to package directions until al dente. Drain and rinse with cold water."
3,"In a large skillet, heat olive oil over medium heat. Sauté minced garlic until fragrant."
4,"Add fresh spinach to the skillet and cook until wilted. Drain excess liquid."
step,"In a large bowl, combine ricotta cheese, mozzarella cheese, parmesan cheese, beaten egg, salt, and pepper. Mix well."
5,"Combine the cooked spinach with the cheese mixture."
6,"Stuff each pasta shell with the spinach and ricotta mixture."
7,"Spread a layer of marinara sauce in the bottom of a baking dish."
8,"Arrange stuffed shells in a single layer over the marinara sauce."
9,"Pour remaining marinara sauce over the stuffed shells."
10,"Cover with aluminum foil and bake for 25 minutes."
11,"Remove foil and bake for an additional 10-15 minutes, or until golden brown and bubbly."
12,"Serve immediately, garnished with additional parmesan cheese if desired."
