step,instruction
1,"Chop onion and garlic finely."
2,"Slice mixed mushrooms."
3,"Heat olive oil and butter in a large, heavy-bottomed saucepan over medium heat."
4,"Add onion and garlic, cook until softened, about 5 minutes."
5,"Add mushrooms, cook until golden brown, about 10 minutes."
6,"Add arborio rice, stir to coat with oil and butter, cook for 1 minute."
7,"Pour in white wine, let it evaporate almost completely."
8,"Begin adding vegetable broth, 1 ladleful at a time, stirring constantly, letting each addition absorb before adding more."
9,"Simmer for 18-20 minutes, or until rice is tender but still slightly firm."
10,"Remove from heat, stir in parmesan cheese, chopped thyme, salt, and pepper."
11,"Serve immediately, garnished with additional parmesan cheese and fresh thyme."
