step,instruction
1,"Preheat your oven to 475°F if using a conventional oven, or according to your pizza oven's instructions."
2,"If using store-bought dough, let it come to room temperature for about 30 minutes. If making your own dough, follow the recipe's instructions for proofing and preheating."
3,"On a lightly floured surface, gently stretch the pizza dough into a 12-inch round. You can use your hands or a rolling pin."
4,"Transfer the stretched dough to a pizza peel or baking sheet dusted with cornmeal."
5,"Spread a thin layer of buffalo sauce evenly over the pizza dough, leaving a 1-inch border around the edge."
6,"Sprinkle about half of the shredded mozzarella cheese over the buffalo sauce."
7,"Distribute the shredded cooked chicken evenly over the first layer of cheese."
8,"Scatter the thinly sliced red onion over the chicken."
9,"Optional: Add crumbles of blue cheese for a stronger flavor."
10,"Optional: Scatter the thinly sliced celery over the pizza for an added crunch."
11,"Sprinkle the remaining shredded mozzarella cheese over the pizza."
12,"Drizzle the pizza with a little extra buffalo sauce according to your desired level of spice."
13,"Bake the pizza for 10-15 minutes, or until the crust is golden brown and the cheese is melted and bubbly."
14,"Keep an eye on your pizza as it bakes, as ovens can vary."
15,"Once the pizza is cooked, remove it from the oven and let it cool slightly on a wire rack for a few minutes before slicing."
16,"Optional: Drizzle ranch dressing over the pizza for a cooling and creamy contrast to the buffalo sauce (to taste)."
17,"Garnish the pizza with thinly sliced green onion for a pop of color and freshness (optional)."
18,"Serve your delicious Buffalo Chicken Pizza and enjoy the spicy and cheesy goodness!"
