Step,Instruction
1,"Cook the fettuccine pasta according to the package instructions in a large pot of salted boiling water until al dente. Drain and set aside."
2,"While the pasta is cooking, season the chicken breasts with salt and black pepper on both sides."
3,"In a large skillet, heat the olive oil over medium-high heat. Add the seasoned chicken breasts and cook for about 6-7 minutes per side, or until golden brown and cooked through. Remove the chicken from the skillet and set aside to rest."
4,"In the same skillet, melt the butter over medium heat. Add minced garlic cloves and cook for about 1 minute, or until fragrant."
5,"Pour the heavy cream into the skillet and bring it to a simmer, stirring occasionally."
6,"Gradually whisk in the grated Parmesan cheese until the sauce is smooth and creamy."
7,"Slice the cooked chicken breasts into thin strips."
8,"Return the sliced chicken to the skillet with the alfredo sauce. Stir to combine and heat through."
9,"Add the cooked fettuccine pasta to the skillet and toss until the pasta is well coated with the sauce."
10,"Season with additional salt and pepper, if needed."
11,"Sprinkle chopped fresh parsley over the chicken alfredo before serving."
12,"Serve the chicken alfredo hot, garnished with extra grated Parmesan cheese, if desired."
