step,instruction
1,"Prepare the Ingredients: Cook the rice according to package instructions and let it cool completely at room temperature or in the refrigerator for at least 30 minutes (cold, dry rice is key for fried rice)."
2,"Whisk the Eggs: In a small bowl, whisk the eggs together with a splash of water until well combined."
3,"Heat the Wok: Heat a wok or large skillet over high heat until hot. Add 1 tablespoon of vegetable oil and swirl to coat the bottom of the pan."
4,"Scramble the Eggs: Push the oil to the sides of the wok. Pour in the whisked eggs and scramble them quickly until cooked through. Transfer the scrambled eggs to a plate and set aside."
5,"Stir-fry the Vegetables: Add the remaining 1 tablespoon of vegetable oil to the wok. Add the diced carrots and green onions (scallions) and stir-fry for 1-2 minutes, or until slightly softened."
6,"Add the Peas: Add the thawed peas and stir-fry for an additional minute."
7,"Add the Cold Rice: Push the vegetables to the sides of the wok. Add the cooled, cooked rice and spread it out in a single layer. Let the rice sit for a few seconds to heat up slightly."
8,"Season and Stir-fry the Rice: Drizzle the light soy sauce and oyster sauce (if using) over the rice. Using a spatula, break up any clumps of rice and stir-fry for 1-2 minutes, allowing the rice to absorb the flavors."
9,"Add the Scrambled Eggs: Add the cooked and scrambled eggs back to the wok and stir-fry to combine with the rice and vegetables."
10,"Season with Sesame Oil and Pepper: Drizzle the toasted sesame oil over the fried rice and stir-fry for another minute. Season with white pepper to taste."
11,"Serve: Garnish with additional chopped green onions (scallions) and serve immediately. Enjoy your delicious Chinese-style fried rice! (Optional: Add shredded char siu for extra protein and flavor)"
