Step Number,Instruction
1,Heat the olive oil in a large pot over medium heat.
2,"Add the chopped onion and sauté for about 5 minutes, until soft."
3,"Stir in the minced garlic, chopped bell pepper, diced carrots, and diced celery. Cook for an additional 5-7 minutes until the vegetables begin to soften."
4,"Add the chopped zucchini and cook for another 5 minutes."
5,"Stir in the diced tomatoes, tomato paste, kidney beans, black beans, corn, and vegetable broth."
6,"Add the chili powder, cumin, paprika, oregano, salt, black pepper, red pepper flakes, and bay leaf."
7,"Bring the chili to a simmer, then reduce the heat to low."
8,"Cover and cook the chili for 30-40 minutes, stirring occasionally."
9,"Remove the bay leaf and adjust seasoning if needed."
10,"Serve hot with your favorite toppings."
