Step,Instruction
1,"Peel and cut the potatoes into thin strips."
2,"Soak the potato strips in cold water for at least 30 minutes to remove excess starch."
3,"Heat the vegetable oil in a deep fryer or large pot to 350 degrees Fahrenheit.  CAUTION:  HOT OIL IS EXTREMELY DANGEROUS."
4,"Drain and pat the potato strips dry with paper towels."
5,"Fry the potato strips in batches for 3-4 minutes until they are tender but not browned."
6,"Remove the fries from the oil and drain on paper towels."
7,"Increase the oil temperature to 375 degrees Fahrenheit."
8,"Fry the potato strips again in batches for 1-2 minutes until golden brown and crispy."
9,"Remove the fries from the oil and drain on paper towels."
10,"Season the fries with salt while they are still hot."
11,"Serve immediately and enjoy!"
