step,instruction
1,"Preheat the oven to 400°F (200°C)."
2,"Wash the butternut squash thoroughly."
3,"Using a sharp knife, carefully cut the butternut squash in half lengthwise."
4,"Scoop out the seeds and stringy pulp from the center of each half."
5,"Brush the flesh of the squash halves with olive oil."
6,"Sprinkle salt and black pepper evenly over the flesh."
7,"Place the squash halves cut-side up on a baking sheet."
8,"If using, place a sprig of fresh rosemary on each half for added flavor."
9,"Roast in the preheated oven for 45-60 minutes, or until the flesh is tender and easily pierced with a fork."
10,"Remove from the oven and let cool slightly before serving."
