Step,Instruction
1,"Preheat oven to 375°F."
2,"Pierce the sweet potatoes all over with a fork and bake for 45-50 minutes, or until tender. Alternatively, you can wrap the sweet potatoes in foil and microwave on high power for 10-12 minutes per side, or until tender. Let the potatoes cool slightly before handling."
3,"While the sweet potatoes are baking, melt butter in a medium saucepan over medium heat. Add the brown sugar and whisk together for 1 minute, until slightly melted and combined."
4,"Whisk in the milk, eggs, vanilla extract, cinnamon, and salt until smooth."
5,"In a large bowl, mash the cooled sweet potatoes with a potato masher or an electric mixer until mostly smooth. You can leave some small chunks for texture."
6,"Pour the wet mixture from the saucepan over the mashed sweet potatoes and stir until well combined."
7,"Pour the sweet potato mixture into a greased 9x13 inch baking dish."
8,"In a small bowl, combine the chopped pecans. Sprinkle the pecan topping evenly over the sweet potato mixture."
9,"Bake for 20-25 minutes, or until the topping is golden brown and the casserole is bubbly around the edges."
10,"Let cool slightly before serving."
