step,instruction
1,"Cook the noodles (if using dried): If using dried noodles, cook them according to package instructions. Drain well and toss with 1 teaspoon of vegetable oil to prevent sticking."
2,"Prepare the vegetables: Julienne the carrots and onions. Thinly slice the napa cabbage."
3,"Cook the chicken: Heat 1 tablespoon of vegetable oil in a large wok or skillet over medium-high heat. Slice the chicken thighs (or your chosen protein) into bite-sized pieces and cook until browned and cooked through, about 5-7 minutes. Remove from the pan and set aside."
4,"Stir-fry the vegetables: Add the julienned carrots and onions to the pan and stir-fry for 2-3 minutes, or until softened slightly."
5,"Add the cabbage: Add the thinly sliced napa cabbage to the pan and stir-fry for another 1-2 minutes, until softened."
6,"Make the sauce: In a small bowl, whisk together the soy sauce, oyster sauce, Worcestershire sauce, brown sugar, ketchup, and white pepper."
7,"Cook the noodles: Add the cooked noodles (or fresh noodles) to the pan with the vegetables. Push the vegetables to the side of the pan and pour in the sauce. Toss everything together to coat the noodles."
8,"Incorporate the chicken: Add the cooked chicken back to the pan and toss to combine."
9,"Finish the yakisoba: Stir-fry for another 1-2 minutes, or until the noodles are heated through and the sauce is slightly thickened."
10,"Serve: Transfer the yakisoba to a plate. Optionally garnish with sliced green onions, aonori seaweed flakes, and beni shoga (pickled ginger)."
