Step Number,Instruction
1,"In a bowl, mix 2 tablespoons of soy sauce with the cubed tofu. Let it marinate for at least 15 minutes."
2,"Heat 1 tablespoon of sesame oil in a large pan or wok over medium-high heat."
3,"Add the marinated tofu and cook until golden brown on all sides, about 5-7 minutes. Remove and set aside."
4,"In the same pan, add 2 tablespoons of vegetable oil."
5,"Stir in the minced garlic and ginger, cooking for about 1 minute until fragrant."
6,"Add the julienned carrot, sliced bell pepper, and broccoli florets. Stir-fry for 5-7 minutes until vegetables are tender-crisp."
7,"In a small bowl, mix the cornstarch with 2 tablespoons of water to create a slurry."
8,"Add the cooked rice to the pan, along with the tofu, green onions, remaining soy sauce, and cornstarch slurry."
9,"Stir-fry everything together for another 3-4 minutes until heated through."
10,"Drizzle with sriracha sauce and serve with lime wedges on the side."
