Step,Instruction
1,"Remove the pork chops from the refrigerator and let them sit at room temperature for about 30 minutes."
2,"In a small bowl, mix together salt, black pepper, garlic powder, onion powder, and paprika to make the dry rub."
3,"Pat the pork chops dry with paper towels, then season both sides evenly with the dry rub."
4,"Preheat your skillet or grill pan over medium-high heat."
5,"Add olive oil to the skillet or grill pan, then add the seasoned pork chops."
6,"Cook the pork chops for 4-5 minutes on each side, or until they reach an internal temperature of 145°F."
7,"During the last minute of cooking, add butter and fresh thyme sprigs to the skillet or grill pan."
8,"Use a spoon to baste the pork chops with the melted butter and thyme."
9,"Once the pork chops are cooked through, remove them from the skillet or grill pan and transfer them to a plate."
10,"Let the pork chops rest for a few minutes before serving to allow the juices to redistribute."
11,"Serve the pork chops hot, garnished with additional fresh thyme if desired."
