Step,Instruction
1,"In a large stockpot, place the beef chuck roast, beef marrow bones, salt, black peppercorns, bay leaves, and thyme sprigs."
2,"Fill the pot with enough water to cover all the ingredients."
3,"Bring the water to a boil over high heat."
4,"Once boiling, reduce the heat to low and let the ingredients simmer gently, partially covered, for about 1 hour."
5,"Meanwhile, prepare the vegetables. Peel and halve the onion. Peel the carrots and cut them into large chunks. Cut the celery stalks into large pieces. Clean the leek and cut it into chunks. Tie the parsley stems together with kitchen twine."
6,"After 1 hour of simmering, skim any foam or impurities that rise to the surface of the broth."
7,"Add the prepared vegetables and parsley bundle to the pot."
8,"Continue to simmer the pot au feu, partially covered, for another 1 to 1 1/2 hours, or until the beef is tender and the vegetables are cooked through."
9,"While the pot au feu is simmering, peel and quarter the potatoes."
10,"About 30 minutes before serving, add the potatoes to the pot and continue to simmer until they are tender."
11,"Once the beef is tender and the vegetables are cooked to your liking, remove the pot au feu from the heat."
12,"Using a slotted spoon or tongs, transfer the beef and vegetables to a serving platter."
13,"Slice the beef chuck roast against the grain into thick slices."
14,"Remove the beef marrow bones from the pot and scoop out the marrow to serve alongside the meat."
15,"Serve the pot au feu hot, with the broth served separately in bowls."
16,"Enjoy your comforting and hearty Pot au Feu!"
