Step,Instruction
1,"Preheat your oven to 325°F."
2,"Season the beef brisket with salt and black pepper."
3,"Heat olive oil in a Dutch oven over medium-high heat."
4,"Sear the beef brisket on all sides in the Dutch oven until browned. Remove and set aside."
5,"Add chopped onions and minced garlic to the Dutch oven. Cook until softened."
6,"Stir in chipotle peppers in adobo sauce, cumin, and smoked paprika. Cook for another minute."
7,"Return the seared beef brisket to the Dutch oven."
8,"Pour beef broth over the brisket and vegetables in the Dutch oven."
9,"Bring the mixture to a simmer, then cover the Dutch oven with a lid."
10,"Transfer the Dutch oven to the preheated oven. Braise the brisket for 3-4 hours, or until it is tender and easily shreds with a fork."
11,"Once done, remove the brisket from the oven and let it cool slightly."
12,"Shred the braised brisket using two forks."
13,"Warm the corn tortillas on a skillet or in the microwave."
14,"Fill each tortilla with shredded brisket and desired toppings."
15,"Serve the braised brisket tacos hot and enjoy!"
