Step,Instruction
1,"These churros are crunchy on the outside while remaining delightfully soft on the inside. This restaurant-quality churro recipe is sure to become a favorite in your dessert lineup."
2,"A churro is a fried pastry dough stick topped with cinnamon and sugar, originating from Spanish and Portuguese cuisines. While similar to doughnuts, churros have ridges due to being piped from a pastry bag. The frying method gives churros a fluffy and tender interior, contrasted by a satisfyingly crispy outer layer."
3,"Here are the essential ingredients you'll need to make homemade churros:"
4,"Here�s a quick overview of what to expect when you prepare these churros at home:"
5," 
1. **Make the dough**: Combine water, butter, sugar, salt, and cinnamon in a saucepan; bring to a boil and add flour. Stir until the mixture forms a ball and pulls away from the sides of the pan. Let cool slightly, then add eggs one at a time, mixing until smooth.  
2. **Pipe and fry**: Transfer the dough to a piping bag fitted with a star tip. Pipe long strips onto hot oil and fry until golden and crispy.  
3. **Coat and serve**: Roll the hot churros in a cinnamon-sugar mixture and serve warm with chocolate sauce for dipping."
6,"Churros are typically served with a sweet dipping sauce. Consider pairing them with <a data-component=""link"" data-ordinal=""1"" data-source=""inlineLink"" data-type=""internalLink"" href=""https://www.allrecipes.com/recipe/232396/easy-homemade-chocolate-sauce/"">homemade chocolate sauce</a>, <a data-component=""link"" data-ordinal=""2"" data-source=""inlineLink"" data-type=""internalLink"" href=""https://www.allrecipes.com/recipe/19039/dulce-de-leche/"">dulce de leche</a>, or <a data-component=""link"" data-ordinal=""3"" data-source=""inlineLink"" data-type=""internalLink"" href=""https://www.allrecipes.com/recipe/21751/vanilla-sauce/"">vanilla sauce</a>."
7,Keep the (completely cooled) churros in an airtight container lined with paper towels at room temperature for up to two days.
8,"""My children adore this recipe and frequently ask me to prepare it,"" says <a data-component=""link"" data-ordinal=""1"" data-source=""inlineLink"" data-type=""internalLink"" href=""https://www.allrecipes.com/cook/26455914"">Shaun Gordon</a>. ""I suggest making a double batch because they disappear quickly."""
9,"""These turned out delicious,"" exclaims <a data-component=""link"" data-ordinal=""1"" data-source=""inlineLink"" data-type=""internalLink"" href=""https://www.allrecipes.com/cook/30164398"">Judy H.</a>. ""They were a hit with my family, and I will definitely make them again!"""
10,"""This recipe is really simple, enjoyable, and tasty,"" notes <a data-component=""link"" data-ordinal=""1"" data-source=""inlineLink"" data-type=""internalLink"" href=""https://www.allrecipes.com/cook/27217724"">IRIS SHELDON</a>. ""It also doesn't require much time. I piped my churros thin and I recommend doing that because it shortens the frying time."""
11,"Editorial contributions by **Corey Williams**."
12,"Collect all the ingredients."
13,"Add flour to the water mixture and stir until the mixture forms a smooth dough."
14,"Allow the dough to cool for a few minutes before adding the eggs, one at a time, mixing well after each addition until smooth."
15,"Pipe 5-inch lengths of dough into the hot oil, cutting with scissors. Fry until golden brown on both sides, about 2 minutes. Use a slotted spoon to remove churros and drain on paper towels."
16,"Fry until the strips are golden brown, about 2 to 3 minutes; remove with tongs and drain on paper towels."
17,"Roll drained churros in a mixture of sugar and cinnamon to coat. Serve warm with chocolate sauce for dipping."
18,"Serve churros warm with your favorite dipping sauce, such as chocolate or caramel."
