Step,Instruction
1,'Cook the sausage in a skillet over medium heat until browned and cooked through.'
2,'Remove the sausage from the skillet and drain excess grease.'
3,"In the same skillet, add diced potatoes and cook until tender and lightly browned.'"
4,'Add diced bell pepper and onion to the skillet with potatoes and cook until softened.'
5,"In a separate bowl, beat the eggs and season with salt and pepper.'"
6,'Pour the beaten eggs into the skillet with the potatoes and vegetables.'
7,"Cook,  stirring occasionally, until the eggs are scrambled and cooked through.'"
8,'Warm the tortillas in the microwave or on a skillet.'
9,"Divide the scrambled eggs, sausage, and shredded cheese among the tortillas.'"
10,'Fold the sides of each tortilla over the filling and roll up tightly.'
11,"Serve immediately, optionally with salsa or hot sauce.'"
