Step,Instruction
1,"Wash the spinach thoroughly in cold water to remove any dirt or debris."
2,"Bring a large pot of salted water to a boil. You can use a pot with a lid for steaming efficiency (optional)."
3,"Two Cooking Methods:"
3a,"Boiling Method:** Add the spinach to the boiling water and blanch for 1-2 minutes, or until wilted."
3b,"Steaming Method (Optional): If using a pot with a lid, you can steam the spinach instead of boiling. Place the washed spinach in a steamer basket and set it over the boiling water. Cover the pot and steam for 1-2 minutes, or until wilted."
4,"Drain the cooked spinach immediately in a colander and rinse under cold running water to stop the cooking process."
5,"Squeeze out excess water from the spinach using your hands or a clean kitchen towel. It's important to remove as much moisture as possible for a better texture."
6,"Transfer the drained spinach to a large bowl."
7,"Add minced garlic, sesame oil, soy sauce, and sugar (if using) to the bowl."
8,"Toss the ingredients together well to ensure even distribution of the seasonings."
9,"Taste and adjust seasonings as needed. Add a pinch of salt for extra flavor (optional)."
10,"Garnish with sesame seeds and thinly sliced scallions (optional) and serve Sigeumchi Namul at room temperature or slightly chilled as a side dish with Korean meals."
