Step,Instruction
1,"Drain tofu and crumble into small pieces."
2,"Chop onion and garlic."
3,"Dice tomatoes."
4,"Heat olive oil in a large skillet over medium heat."
5,"Sauté onion and garlic until softened."
6,"Add crumbled tofu to the skillet and cook for 5-7 minutes, breaking it up with a spatula."
7,"Add diced tomatoes, turmeric, cumin, salt, and pepper to the skillet."
8,"Cook for 5-7 minutes, or until tomatoes soften."
9,"Add spinach and cook until wilted."
10,"Stir in nutritional yeast and cook for an additional minute."
11,"Serve immediately."
