Step,Instruction
1,"Cook rice noodles according to package directions, then rinse with cold water."
2,"Press tofu to remove excess water and cut into cubes."
3,"Thinly slice green onions."
4,"In a small bowl, combine peanut butter, soy sauce, fish sauce, lime juice, brown sugar, and sriracha (if using)."
5,"Mince garlic."
6,"Heat vegetable oil in a large skillet or wok over medium-high heat."
7,"Add tofu cubes to the hot pan and cook until golden brown on all sides."
8,"Push tofu to the side of the pan and add minced garlic. Cook until fragrant."
9,"Add bean sprouts and green onions to the pan and stir-fry for 1 minute."
10,"Add cooked rice noodles and pad thai sauce to the pan. Toss to coat evenly."
11,"Cook for an additional 2-3 minutes, or until noodles are heated through and sauce has thickened."
12,"Serve immediately, garnished with chopped peanuts and cilantro. Squeeze lime juice over the top before serving."
