Step,Instruction
1,"Preheat oven to 400°F."
2,"Cut tomatoes in half and place them on a baking sheet."
3,"Drizzle olive oil over the tomatoes and season with salt and black pepper."
4,"Roast in the preheated oven for 25-30 minutes or until the tomatoes are caramelized."
5,"In a large pot, heat olive oil over medium heat."
6,"Add chopped onion and minced garlic to the pot and cook until softened."
7,"Add roasted tomatoes (including any juices) to the pot."
8,"Pour in vegetable broth and bring to a simmer."
9,"Stir in heavy cream and fresh basil leaves."
10,"Using an immersion blender, blend the soup until smooth."
11,"Taste and adjust seasoning if needed."
12,"Serve hot, garnished with additional fresh basil leaves if desired."
