Step,Instruction
1,"Cut the lamb shoulder into bite-sized pieces and set aside."
2,"Chop the onion, mince the garlic cloves, and grate the ginger."
3,"Heat vegetable oil in a large pot over medium heat. Add the chopped onion and cook until softened."
4,"Add the minced garlic and grated ginger to the pot. Cook for another 2 minutes until fragrant."
5,"Add the lamb pieces to the pot and cook until browned on all sides."
6,"Stir in the curry powder, ground turmeric, ground cumin, and ground coriander. Cook for 1-2 minutes to toast the spices."
7,"Dice the tomatoes and add them to the pot. Stir well to combine."
8,"Pour in the coconut milk and season with salt and black pepper. Bring the mixture to a simmer."
9,"Cover the pot with a lid and reduce the heat to low. Let the curry simmer gently for 1.5 to 2 hours, stirring occasionally, until the lamb is tender."
10,"Once the lamb is tender and the sauce has thickened, remove from heat."
11,"Garnish with fresh cilantro and serve hot with rice or naan bread. Enjoy your flavorful lamb curry!"
