Step,Instruction
1,"Preheat oven to 375 degrees Fahrenheit."
Part A,"Cook the lasagna noodles"
2,"Cook lasagna noodles according to package directions. Drain and set aside. Skip this step if using using oven-ready noodles."
Part B,"Make the cashew cheese"
3,"Soak cashews in water for at least 30 minutes."
4,"Drain cashews and blend with nutritional yeast, lemon juice, garlic, salt, and pepper until smooth.  Use a blender if necessary."
Part C,"Make the mushroom-tofu mixture"
5,"Sauté chopped onion and garlic in olive oil until softened. Add sliced mushrooms and cook until browned."
6,"Combine mushroom mixture with tofu, spinach, and Italian seasoning."
Part D,"Assemble and bake the lasagna"
7,"Spread a layer of marinara sauce in the bottom of a baking dish."
8,"Layer lasagna noodles, mushroom-tofu mixture, and marinara sauce, repeating as needed."
9,"Top with a layer of cashew cheese."
10,"Bake for 30-35 minutes, or until bubbly and golden brown."
