Step,Instruction
1,"Crush the black peppercorns using a mortar and pestle or by placing them in a sealed plastic bag and gently pounding them with a rolling pin or mallet."
2,"Season both sides of the steak with salt and coat them evenly with the crushed peppercorns."
3,"In a skillet, heat olive oil over medium-high heat."
4,"Once the oil is hot, add the steaks to the skillet and cook for 3-4 minutes on each side for medium-rare, or until they reach your desired level of doneness."
5,"Remove the steaks from the skillet and let them rest on a plate, loosely covered with foil."
6,"In the same skillet, add butter and melt it over medium heat."
7,"Add minced shallots and garlic cloves to the skillet. Cook until softened and fragrant, about 2-3 minutes."
8,"Pour brandy into the skillet and carefully ignite it with a long match or lighter. Allow the flames to die down naturally."
9,"Once the flames have subsided, stir in beef broth and heavy cream."
10,"Cook the sauce, stirring occasionally, until it thickens slightly, about 3-5 minutes."
11,"Return the steaks to the skillet and spoon the sauce over them."
12,"Cook for another minute or until the steaks are heated through and coated with the sauce."
13,"Transfer the steaks to serving plates and spoon any remaining sauce over the top."
14,"Serve the Steak au Poivre hot, garnished with fresh herbs if desired."
15,"Enjoy your delicious and flavorful Steak au Poivre!"
