Step,Instruction
1,"Cook sushi rice according to package directions."
2,"In a small bowl, combine rice vinegar, sugar, and salt. Stir until sugar and salt dissolve."
3,"Pour vinegar mixture over hot rice and use a rice paddle to gently fold until rice is evenly coated and cooled."
4,"Lay a sheet of nori shiny side down on a sushi rolling mat."
5,"Spread a thin layer of vegan cream cheese over the nori, leaving a 1-inch border at the top."
6,"Slice avocado, cucumber, carrot, and mango into long thin strips."
7,"Arrange the vegetables and avocado on top of the cream cheese, leaving a 1-inch border at the top."
8,"Moisten the top border of the nori with water."
9,"Use the sushi mat to gently roll the sushi up tightly, starting from the bottom."
10,"Pinch the seam of the sushi roll to seal it."
11,"Use a sharp knife to cut the sushi roll into 8 equal pieces."
12,"Serve immediately with soy sauce and wasabi (optional)."
