Step,"Instruction"
1,"Press tofu to remove excess water, then cut into cubes."
2,"Chop onion, carrots, and green onions."
3,"Cook rice according to package directions and let cool."
4,"Beat eggs in a small bowl."
5,"Heat sesame oil in a large skillet or wok over medium-high heat."
6,"Add tofu cubes and cook until golden brown on all sides."
7,"Remove tofu from skillet and set aside."
8,"Add onion and carrots to the skillet and cook until softened."
9,"Add peas and cook for 1 minute."
10,"Push vegetables to one side of the skillet and add beaten eggs. Scramble until cooked."
11,"Add cooked rice to the skillet and stir-fry until heated through."
12,"Return tofu to the skillet and add soy sauce and oyster sauce."
13,"Stir-fry for 1 minute to combine flavors."
14,"Serve immediately, garnished with green onions."
