Step,Instruction
1,"Heat olive oil in a large pot or Dutch oven over medium heat."
2,"Add the chopped onion, carrot, and celery. Sauté for 5-7 minutes, or until softened and translucent."
3,"Stir in the minced garlic and cook for an additional minute until fragrant."
4,"Pour in the crushed tomatoes, chicken broth, water (or vegetable broth), bay leaf, oregano, thyme, salt, and pepper. Bring to a boil, then reduce heat and simmer for 20 minutes."
5,"Optional step:  If using, add the cubed cooked potato to the soup and simmer for an additional 5 minutes."
6,"Stir in the green beans and diced zucchini (if using). Continue simmering for 5-7 minutes, or until the green beans are tender-crisp."
7. "Add the drained and rinsed kidney beans and the small pasta. Simmer for another 8-10 minutes, or until the pasta is cooked through."
8,"Optional Flavorings:"
8a,"For a richer flavor, you can add 1/2 cup of red wine along with the crushed tomatoes in step 4."
8b,"If desired, include a Parmesan cheese rind to the pot during simmering for additional cheesy flavor. Remove the rind before serving."
9,"Season to Taste: Season the soup with additional salt and pepper to your preference."
10,"Garnish and Serve: Turn off the heat and stir in the chopped fresh parsley. Garnish with chopped fresh basil leaves (optional) and a pinch of red pepper flakes for a bit of spice (optional). Serve hot and enjoy your minestrone soup!"
