step,instruction
1,"Cut chicken breasts into bite-sized pieces or thin strips."
2,"Heat olive oil in a large skillet over medium-high heat until shimmering."
3,"Add onion and cook, stirring occasionally, until softened (about 4 minutes)."
4,"Add garlic and cook for 30 seconds more, until fragrant."
5,"Add chicken strips and cook, stirring occasionally, until golden brown on all sides (about 5-7 minutes)."
6,"Stir in chili powder, cumin, smoked paprika (if using), oregano, salt, and black pepper. Cook for 1 minute to toast the spices."
7,"Pour in chicken broth and lime juice. Bring to a simmer, scraping up any browned bits from the bottom of the pan."
8,"Reduce heat to medium-low and simmer for 5-7 minutes, or until the chicken is cooked through and the sauce has thickened slightly."
9,"While the chicken simmers, warm flour tortillas according to package instructions (microwave, stovetop, etc.). You can also wrap them in foil and heat in a warm oven (200°F) for 5-10 minutes."
10,"Prepare your desired fillings (cooked rice, beans, lettuce, etc.)."
11,"Assemble burritos by laying a warmed tortilla flat. Spread a layer of chicken mixture down the center. Top with your desired fillings (rice, beans, lettuce, etc.) and sprinkle with shredded cheese."
12,"Fold the bottom edge of the tortilla up and over the filling. Then fold in the sides, like a business letter. Roll the burrito tightly, starting from the bottom."
13,"Optional: You can wrap the burrito in foil to keep it warm and secure the shape."
14,"Serve immediately and enjoy with your favorite toppings (sour cream, guacamole, salsa, etc.)."
