Step,Instruction
1,"Preheat oven to 375 degrees Fahrenheit."
2,"Peel and cube sweet potatoes. Boil until tender, then mash."
3,"Drain and rinse black beans."
4,"Chop onion and garlic."
5,"Heat olive oil in a skillet over medium heat. Add onion and garlic, cook until softened."
6,"Stir in black beans, cumin, chili powder, paprika, salt, and pepper. Cook for 5 minutes."
7,"Combine mashed sweet potatoes with black bean mixture."
8,"Spread about 1/4 cup of filling on each tortilla. Roll up tightly."
9,"Pour enchilada sauce into a baking dish. Arrange enchiladas seam side down."
10,"Top with vegan cheese."
11,"Bake for 20-25 minutes, or until cheese is melted and bubbly."
12,"Serve with avocado slices, chopped cilantro, and lime wedges."
