Step,Instruction
1,"Wash and peel the potatoes, then cut them into equal-sized pieces."
2,"Place a steamer basket in a large pot and add the water."
3,"Bring the water to a boil over medium-high heat."
4,"Place the potatoes in the steamer basket."
5,"Cover the pot and steam the potatoes for 15-20 minutes or until tender."
6,"Check the potatoes by piercing them with a fork; they should be soft."
7,"Remove the potatoes from the steamer and place them in a large bowl."
8,"Add salt, butter, and fresh parsley to the potatoes."
9,"Toss the potatoes gently until the butter is melted and the potatoes are evenly coated."
10,"Serve immediately and enjoy!"
