step,instruction
1,"Make the Marinara Sauce: Heat the olive oil in a large pot or Dutch oven over medium heat. Add the chopped onion and cook until softened and translucent, about 5 minutes. Stir occasionally to prevent browning."
2,"Stir in the minced garlic and cook for an additional minute until fragrant. Do not let the garlic burn."
3,"Pour in the crushed tomatoes, tomato paste, oregano, basil, and red pepper flakes (if using). Season with salt and pepper to taste. Bring to a simmer and cook for 20 minutes, stirring occasionally, to thicken the sauce."
4,"Optional: While the sauce simmers, you can prepare a pot of boiling salted water for cooking the ravioli (if using frozen ravioli)."
5,"Cook the Ravioli: If using fresh ravioli, follow the package instructions for cooking. Fresh ravioli typically cook in boiling water for 2-3 minutes, or until they float to the surface."
6,"If using frozen ravioli: Bring a large pot of salted water to a boil. Add the frozen ravioli and cook according to package instructions, usually for 3-5 minutes, or until cooked through."
7,"Drain the cooked ravioli and set them aside."
8,"Bring the marinara sauce to a simmer over medium heat (if the heat was reduced while cooking the ravioli)."
9,"Add the cooked ravioli to the simmering marinara sauce and toss gently to coat them evenly."
10,"Optional: Stir in some chopped fresh basil for extra flavor."
11,"Serve the Ravioli with Marinara Sauce immediately, garnished with additional fresh basil (if using) and grated Parmesan cheese (if using)."
12,"Enjoy this classic and easy Italian dish!"
