Step,Instruction
1,Clean the mushrooms with a damp cloth and trim the stems.
2,"Slice the mushrooms into halves or quarters, depending on their size."
3,"In a large skillet, melt the butter over medium heat."
4,Add minced garlic to the skillet and sauté for 1-2 minutes until fragrant.
5,Add the sliced mushrooms to the skillet and cook for 8-10 minutes until they are tender and browned.
6,Reduce the heat to low and pour in the heavy cream.
7,"Simmer for 5-7 minutes, stirring occasionally, until the sauce thickens slightly and coats the mushrooms."
8,Season with salt and black pepper to taste.
9,Remove from heat and garnish with chopped fresh thyme before serving.
10,Enjoy hot as a creamy and indulgent side dish.
