Step,Instruction
1,"Preheat your oven to 325°F."
2,"Season the chuck roast with salt and black pepper."
3,"Heat olive oil in a Dutch oven over medium-high heat."
4,"Once the oil is hot, add the chuck roast to the Dutch oven and sear it on all sides until browned. This helps to develop flavor."
5,"Remove the seared chuck roast from the Dutch oven and set it aside."
6,"Add chopped onions, carrots, celery, and minced garlic to the Dutch oven. Cook until softened."
7,"Stir in tomato paste and cook for another 2 minutes."
8,"Pour red wine into the Dutch oven, scraping up any browned bits from the bottom."
9,"Add beef broth, Worcestershire sauce, bay leaves, and thyme sprigs to the Dutch oven."
10,"Return the seared chuck roast to the Dutch oven, nestling it among the vegetables."
11,"Cover the Dutch oven with a lid and transfer it to the preheated oven."
12,"Braise the pot roast in the oven for about 3 hours, or until the meat is fork-tender and the vegetables are cooked through."
13,"Once done, remove the Dutch oven from the oven."
14,"Transfer the chuck roast to a cutting board and let it rest for a few minutes before slicing."
15,"While the meat is resting, remove and discard the bay leaves and thyme sprigs from the Dutch oven."
16,"If desired, use an immersion blender to puree some of the vegetables and broth to create a thicker gravy."
17,"Slice the rested chuck roast against the grain into thick slices."
18,"Serve the pot roast hot, with the vegetables and gravy spooned over the top."
19,"Enjoy your delicious and comforting pot roast!"
