Step,Instruction
1,"Cut paneer into 1-inch cubes."
2,"In a bowl, combine paneer, Greek yogurt, ginger-garlic paste, garam masala, coriander powder, cumin powder, turmeric powder, red chili powder, and lemon juice. Marinate for at least 30 minutes."
3,"Chop onion and tomatoes."
4,"Roast cashews in a dry skillet until golden brown."
5,"Blend roasted cashews, onion, tomatoes, ginger-garlic paste, garam masala, coriander powder, cumin powder, red chili powder, and turmeric powder into a smooth paste."
6,"Heat ghee in a pan. Add the onion-tomato paste and cook until oil separates."
7,"Add the marinated paneer cubes and cook until golden brown on all sides."
8,"Pour in 2 cups of water and bring to a boil. Reduce heat and simmer for 10 minutes."
9,"Add heavy cream and kasuri methi. Simmer for 2-3 minutes."
10,"Season with salt to taste."
11,"Serve hot with naan or rice."
