Step,Instruction
1,'Wash the kale leaves and remove the tough stems.'
2,'Tear the kale leaves into bite-sized pieces.'
3,'Rinse the quinoa under cold water.'
4,'Cook the quinoa according to the package instructions.'
5,'Dice the cherry tomatoes and red onion.'
6,"In a large bowl, combine the torn kale leaves, cooked quinoa, diced cherry tomatoes, diced red onion, and crumbled feta cheese.'"
7,'Drizzle lemon juice and olive oil over the salad.'
8,'Season with salt and black pepper.'
9,'Toss gently until well combined.'
10,'Refrigerate for at least 30 minutes before serving.'
11,'Serve chilled.'
