step,instruction
1,"Heat olive oil in a large skillet over medium heat until shimmering."
2,"Add onion and cook, stirring occasionally, until softened (about 4 minutes)."
3,"Add garlic and cook for 30 seconds more, until fragrant."
4,"Add ground beef and cook, breaking it up with a spoon, until browned (about 5-7 minutes)."
5,"Stir in chili powder, cumin, smoked paprika (if using), oregano, salt, and black pepper. Cook for 1 minute to toast the spices."
6,"Pour in diced tomatoes and beef broth. Bring to a simmer, scraping up any browned bits from the bottom of the pan."
7,"Reduce heat to medium-low and simmer for 10-15 minutes, or until the sauce thickens slightly and the beef is cooked through."
8,"While the beef simmers, warm flour tortillas according to package instructions (microwave, stovetop, etc.). You can also wrap them in foil and heat in a warm oven (200°F) for 5-10 minutes."
9,"Prepare your desired fillings (cooked rice, beans, lettuce, etc.)."
10,"Assemble burritos by laying a warmed tortilla flat. Spread a layer of beef mixture down the center. Top with your desired fillings (rice, beans, lettuce, etc.) and sprinkle with shredded cheese."
11,"Fold the bottom edge of the tortilla up and over the filling. Then fold in the sides, like a business letter. Roll the burrito tightly, starting from the bottom."
12,"Optional: You can wrap the burrito in foil to keep it warm and secure the shape."
13,"Serve immediately and enjoy with your favorite toppings (sour cream, guacamole, salsa, etc.)."
