Step,Instruction
1,"Preheat grill to medium-high heat."
2,"Pat sea bass fillets dry with paper towels."
3,"Brush sea bass fillets with olive oil and season with salt and pepper."
4,"Grill sea bass fillets for 4-6 minutes per side, or until cooked through."
5,"While sea bass cooks, prepare the salsa."
6,"Chop cherry tomatoes, red onion, and cucumber into small pieces."
7,"Combine chopped vegetables, fresh basil, and oregano in a bowl."
8,"In a separate small bowl, whisk together red wine vinegar, olive oil, capers, salt, and pepper."
9,"Pour dressing over the vegetable mixture and toss to combine."
10,"Serve grilled sea bass topped with Mediterranean salsa."
