Step,Instruction
A,"Make the Biscuits"
1,"Preheat oven to 425°F. Line a baking sheet with parchment paper."
2,"Combine dry ingredients: In a medium bowl, whisk together flour, baking powder, sugar, and salt."
3,"Cut in butter: Cut in cold butter using a pastry blender or two knives until mixture resembles coarse crumbs."
4,"Add wet ingredients: In a small bowl, whisk together buttermilk. Add to dry ingredients and stir until just combined."
5,"Form biscuits: Drop by rounded tablespoons onto prepared baking sheet, spacing them about 2 inches apart."
6,"Bake: Bake for 12-15 minutes, or until golden brown."
7,"Cool: Let cool on baking sheet for a few minutes before transferring to a wire rack to cool completely."
B,"Prepare the Strawberries"
8,"Combine strawberries and sugar: In a large bowl, combine sliced strawberries, sugar, and lemon juice. Let stand for 30 minutes, or until juices form."
C,"Make the Whipped Cream"
9,"Whip cream: In a chilled bowl, beat heavy whipping cream and powdered sugar until stiff peaks form."
10,"Add vanilla: Stir in vanilla extract."
D,"Assemble the Shortcake"
11,"Cut biscuits: Split each biscuit in half horizontally."
12,"Layer: Place the bottom half of a biscuit on a plate, top with whipped cream, then sliced strawberries. Place the top half of the biscuit on top."
13,"Serve: Repeat with remaining biscuits, whipped cream, and strawberries. Serve immediately."
