Step,Instruction
1,'Shell the fava beans and blanch them in boiling water for 2 minutes.'
2,'Drain the fava beans and transfer them to a bowl of ice water to stop the cooking process.'
3,'Peel the outer skin off each fava bean.'
4,'Halve the cherry tomatoes.'
5,"Finely chop the red onion, fresh parsley, and fresh mint.'"
6,"In a large bowl, combine the peeled fava beans, halved cherry tomatoes, chopped red onion, chopped parsley, and chopped mint.'"
7,'Drizzle lemon juice and olive oil over the salad.'
8,'Toss gently until well combined.'
9,"Season with salt and black pepper, to taste.'"
10,'Refrigerate for at least 30 minutes before serving.'
11,'Serve chilled.'
