step,instruction
1,"Cook brown rice according to package directions."
2,"Rinse and drain black beans."
3,"Chop onion, green bell pepper, red bell pepper, zucchini, and yellow squash into small pieces."
4,"Shuck corn and remove kernels."
5,"Heat olive oil in a large skillet over medium-high heat."
step,"Add chopped vegetables and corn to skillet and cook until tender-crisp."
6,"Stir in taco seasoning and cook for 1 minute."
7,"Warm tortillas according to package directions."
8,"To assemble burritos, spread a layer of rice on a tortilla, followed by black beans, grilled vegetables, avocado, salsa, sour cream, and cheese."
9,"Fold sides of tortilla into center and roll up tightly."
10,"Serve immediately."
