Step,"Instruction"
1,"Cut tofu into cubes and press to remove excess water."
2,"Chop onion, garlic, and ginger."
3,"Drain and rinse chickpeas."
4,"Heat oil in a large pot over medium heat."
5,"Sauté onion, garlic, and ginger until softened."
6,"Add curry powder, cumin powder, turmeric powder, and red chili powder. Stir-fry for 30 seconds."
7,"Add chickpeas, tofu, and vegetable broth. Bring to a boil, then reduce heat and simmer for 15 minutes."
8,"Stir in coconut milk and cook for 5 minutes more."
9,"Add spinach and cook until wilted."
10,"Season with salt and pepper to taste."
11,"Serve hot with rice or naan bread, garnished with fresh coriander."
