Step,Instruction
1,"Rinse the dried navy beans under cold water and pick out any debris or stones."
2,"Place the rinsed beans in a large bowl or pot and cover them with water. Let them soak overnight or for at least 8 hours."
3,"After soaking, drain the beans and rinse them again."
4,"In a large pot, combine the soaked beans, salt, and 6 cups of water. Bring the mixture to a boil over high heat."
5,"Reduce the heat to low, cover the pot, and simmer the beans for 1-1.5 hours, or until they are tender but not mushy. Drain and set aside."
6,"While the beans are cooking, chop the bacon, onion, and garlic."
7,"In a separate skillet, cook the bacon over medium heat until crispy. Remove the cooked bacon from the skillet and set it aside."
8,"In the same skillet with the bacon drippings, add the chopped onion and garlic. Cook until softened, about 5 minutes."
9,"Add the diced pork shoulder to the skillet and cook until browned on all sides, about 5-7 minutes."
10,"Return the cooked bacon to the skillet."
11,"Stir in the brown sugar, ketchup, mustard, apple cider vinegar, and black pepper. Mix well to combine."
12,"Transfer the cooked beans to the skillet with the pork and sauce mixture. Stir until everything is evenly coated."
13,"Simmer the pork and beans mixture over low heat for an additional 15-20 minutes to allow the flavors to meld together."
14,"Taste and adjust seasoning if needed."
15,"Serve the pork and beans hot as a hearty and comforting meal."
