Step Number,Instruction
1,"Preheat your oven to 425°F."
2,"In a large bowl, mix together the sliced apples, granulated sugar, brown sugar, flour, cinnamon, nutmeg, salt, and lemon juice."
3,"Roll out half of the pie crust and fit it into a 9-inch pie dish."
4,"Fill the crust with the apple mixture, mounding slightly in the center."
5,"Dot the filling with small pieces of butter."
6,"Roll out the remaining pie crust and place it over the filling. Trim and crimp the edges to seal."
7,"Cut a few small slits in the top crust to allow steam to escape."
8,"Brush the top crust with the beaten egg."
9,"Bake the pie in the preheated oven for 45 to 50 minutes, or until the crust is golden and the filling is bubbly."
10,"If the edges of the crust begin to brown too quickly, cover them with strips of aluminum foil."
11,"Allow the pie to cool for at least 2 hours before serving."
