Step,Instruction
1,'Shred the red cabbage thinly.'
2,'Core and dice the apple.'
3,'Finely chop the onion.'
4,"In a large pot or Dutch oven, melt the butter over medium heat.'"
5,"Add chopped onion and saute until softened, about 3-4 minutes.'"
6,'Add shredded red cabbage and diced apple to the pot.'
7,'Pour in red wine vinegar and sprinkle brown sugar over the cabbage mixture.'
8,'Season with salt and black pepper.'
9,"Cover the pot and simmer over low heat for 30-40 minutes, stirring occasionally, until the cabbage is tender.'"
10,'Taste and adjust seasoning if necessary.'
11,'Serve hot.'
