Step,Instruction
1,"Pick through the dried anchovies to remove any debris or unwanted pieces."
2,"Heat vegetable oil in a large skillet or wok over medium heat. Once hot, add the dried anchovies."
3,"Fry the anchovies for 2-3 minutes, stirring occasionally, until they become golden brown and crispy. Be careful not to burn them."
4,"Add minced garlic to the pan and cook for another 30 seconds, or until fragrant, being careful not to burn the garlic."
5,"Add gochugaru (Korean red pepper flakes) to the pan and stir to coat the anchovies. Adjust the amount based on your desired spice level."
6,"Pour in sugar and soy sauce. Toss the anchovies to ensure even distribution of the seasonings."
7,"Cook for another 1-2 minutes, or until the sauce thickens slightly and coats the anchovies."
8,"Turn off the heat and sprinkle with sesame seeds."
9,"**Optional Step:** If using shishito peppers, add them to the pan and toss gently to coat with the sauce. Heat for an additional minute, or until the shishito peppers are slightly softened and blistered."
10,"Garnish with thinly sliced scallions (optional) and serve Myulchi Bokkeum immediately with rice or as a side dish."
