Step,Instruction
1,"Preheat your oven to 325°F."
2,"Cut the pork shoulder into large chunks, about 2-inch cubes."
3,"In a small bowl, mix together salt, black pepper, cumin, garlic powder, onion powder, and oregano to create the spice rub."
4,"Rub the spice mixture all over the pork chunks, ensuring they are evenly coated."
5,"Place the seasoned pork chunks in a Dutch oven or heavy-bottomed pot."
6,"Squeeze the juice of the orange and lime over the pork, then add the squeezed fruit halves to the pot."
7,"Add bay leaves to the pot."
8,"Cover the pot with a lid and transfer it to the preheated oven."
9,"Braise the pork in the oven for 2.5 to 3 hours, or until the meat is tender and easily shreds apart."
10,"Once the pork is cooked, remove it from the oven and let it cool slightly."
11,"Using two forks, shred the pork into smaller pieces."
12,"Heat vegetable oil in a large skillet over medium-high heat."
13,"Transfer the shredded pork to the skillet in batches, spreading it out into an even layer."
14,"Cook the pork in the skillet for 5-7 minutes, or until it is crispy and golden brown on the edges."
15,"Remove the crispy pork carnitas from the skillet and drain them on paper towels."
16,"Repeat the process with the remaining shredded pork."
17,"Serve the pork carnitas hot, garnished with chopped cilantro, diced onions, salsa, and lime wedges if desired."
