Step,Instruction
1,"Preheat oven to 375 degrees Fahrenheit."
2,"Cook lasagna noodles according to package directions."
3,"Crumble tofu into a large bowl."
4,"Squeeze excess water from spinach and add to tofu."
5,"Add ricotta cheese, nutritional yeast, salt, and pepper to the tofu and spinach mixture."
6,"Sauté chopped onion and garlic in olive oil until softened."
7,"Spread a layer of marinara sauce in the bottom of a 9x13 inch baking dish."
8,"Layer lasagna noodles, tofu mixture, and marinara sauce, repeating layers as needed."
9,"Top with mozzarella and Parmesan cheese."
10,"Bake for 30-35 minutes, or until bubbly and golden brown."
11,"Let cool for 10 minutes before serving."
