ingredient,recommendation
dijon mustard,neutral
dill pickle,neutral
dill weed,neutral
dill,neutral
egg noodle,neutral
egg white,neutral
egg yolk,neutral
egg,neutral
eggplant,neutral
elbow macaroni,neutral
english cucumber,preferred
extra virgin olive oil,neutral
fennel seed,neutral
fenugreek seed,neutral
feta cheese,neutral
feta,neutral
fettuccine,neutral
fish sauce,neutral
flat leaf parsley,neutral
flour tortilla,neutral
flour,neutral
french bread,neutral
garam masala powder,neutral
garam masala,neutral
garbanzo bean,neutral
garlic clove,neutral
garlic powder,neutral
garlic salt,neutral
garlic,preferred
ghee,neutral
ginger root,preferred
ginger,preferred
gingerroot,preferred
goat cheese,neutral
grain rice,neutral
grain white rice,neutral
green bean,preferred
green bell pepper,preferred
green cabbage,preferred
green chili,neutral
green chilies,neutral
green olive,preferred
green onion,preferred
green pea,preferred
green pepper,preferred
gruyere cheese,neutral
ham,limit
hamburger bun,neutral
hamburger,limit
hard egg,neutral
head cabbage,preferred
head cauliflower,preferred
heavy cream,exclude
heavy whipping cream,exclude
herb,neutral
hoisin sauce,neutral
honey,neutral
horseradish,preferred
hot water,neutral
hummus,preferred
ice water,neutral
ice,neutral
iceberg lettuce,preferred
icing sugar,neutral
italian dressing,neutral
italian parsley,neutral
italian sausage,limit
italian seasoning,neutral
italian spice,neutral
jalapeno pepper,neutral
jalapeno,neutral
jasmine rice,neutral
kalamata olive,preferred
kale,neutral
kernel corn,neutral
ketchup,limit
kidney bean,preferred
kosher salt black pepper,neutral
kosher salt,neutral
lamb,limit
large shrimp,neutral
lasagna noodle,neutral
lea perrins worcestershire sauce,neutral
leek,neutral
lemon juice,neutral
lemon peel,preferred
lemon wedge,preferred
lemon zest,neutral
lemon,preferred
lemongrass,neutral
lentil,preferred
lettuce leaf,preferred
lettuce,preferred
lime juice,neutral
lime wedge,preferred
lime,preferred
linguine,neutral
macaroni,neutral
mango chutney,neutral
mango,preferred
maple syrup,neutral
margarine,neutral
marinara sauce,neutral
marjoram,neutral
marshmallow,limit
mascarpone cheese,neutral
mayonnaise,neutral
mexican cheese,neutral
milk,neutral
mint leaf,neutral
mint,neutral
mirin,neutral
miso paste,preferred
molasses,neutral
monterey jack cheese,neutral
mozzarella cheese,limit
mushroom,preferred
mustard powder,neutral
mustard seed,neutral
mustard,neutral
nutmeg,neutral
oats,preferred
oatmeal,preferred
oil,neutral
olive oil,preferred
olive,preferred
onion flake,neutral
onion powder,neutral
onion soup mix,exclude
onion,preferred
orange bell pepper,preferred
orange juice,neutral
orange peel,neutral
orange zest,neutral
orange,preferred
oregano leaf,neutral
oregano,neutral
orzo pasta,neutral
oyster sauce,neutral
palm sugar,neutral
panko bread crumb,neutral
panko breadcrumb,neutral
paprika,neutral
parmesan cheese,neutral
parsley flake,neutral
parsley leaf,neutral
parsley,neutral
parsnip,preferred
pasta,neutral
pea,preferred
peach,preferred
peanut butter,neutral
peanut oil,neutral
peanut,neutral
pear,preferred
pecan,preferred
penne pasta,neutral
pepper sauce,neutral
pepper,neutral
peppercorn,neutral
pesto sauce,neutral
pie crust,neutral
pine nut,preferred
pineapple chunk,preferred
pineapple juice,neutral
pineapple,preferred
pinto bean,preferred
pistachio,neutral
pita bread,neutral
pizza crust,neutral
pizza sauce,neutral
plain flour,neutral
plain yogurt,preferred
plum tomato,preferred
polenta,neutral
pork chop,limit
pork,neutral
portabella mushroom,preferred
potato,neutral
prawn,neutral
pumpkin,preferred
purpose flour,neutral
radish,preferred
raisin,preferred
red bell pepper,preferred
red chili powder,neutral
red chilies,neutral
red kidney bean,preferred
red lentil,preferred
red onion,preferred
red pepper flake,neutral
red pepper,preferred
red potato,neutral
red wine vinegar,neutral
red wine,neutral
rice vinegar,neutral
rice wine vinegar,neutral
rice wine,neutral
rice,neutral
ricotta cheese,neutral
rom tomato,preferred
romaine lettuce,preferred
romano cheese,neutral
rosemary,neutral
rum,limit
russet potato,neutral
saffron,neutral
sage,neutral
salmon fillet,preferred
salmon,preferred
salsa,neutral
salt black pepper,neutral
salt pepper,neutral
salt,limit
sauce,neutral
sauerkraut,preferred
sausage,limit
scallion,preferred
sea salt,limit
seasoning salt,neutral
self raising flour,neutral
self rising flour,neutral
sesame oil,neutral
sesame seed,neutral
shallot,neutral
sharp cheddar cheese,neutral
sherry wine,limit
sherry,limit
shortening,neutral
shrimp,neutral
sirloin steak,limit
sirloin,limit
snap pea,preferred
snow pea,preferred
soy sauce,neutral
soya sauce,neutral
soymilk,neutral
spaghetti noodle,neutral
spaghetti sauce,neutral
spaghetti,neutral
spaghettini,neutral
spanish onion,preferred
spinach leaf,preferred
spinach,preferred
spring onion,preferred
steak,limit
stewing beef,limit
stir fry sauce,neutral
strawberry,preferred
sugar,neutral
sultana,preferred
sunflower oil,neutral
swiss cheese,neutral
tabasco sauce,neutral
table salt,limit
taco seasoning mix,limit
taco seasoning,neutral
tahini,neutral
tarragon,neutral
tequila,limit
teriyaki sauce,neutral
thyme leaf,neutral
thyme leave,neutral
thyme,neutral
tofu,preferred
tomato juice,neutral
tomato paste,preferred
tomato puree,preferred
tomato sauce,neutral
tomato,preferred
tortilla chip,neutral
tortilla,neutral
tuna,preferred
turkey,preferred
turmeric powder,neutral
turmeric,preferred
turnip,preferred
vanilla essence,neutral
vanilla extract,neutral
vanilla ice cream,limit
vanilla,neutral
vegetable broth,neutral
vegetable oil,neutral
vegetable stock,neutral
vinegar,neutral
vodka,limit
walnut,preferred
water chestnut,preferred
water,neutral
wheat bread,neutral
wheat flour,neutral
whipping cream,exclude
white bread,neutral
white flour,neutral
white mushroom,preferred
white onion,preferred
white pepper,neutral
white rice,neutral
white sugar,neutral
white vinegar,neutral
white wine vinegar,neutral
white wine,neutral
wine vinegar,neutral
worcestershire sauce,neutral
yeast,neutral
yellow bell pepper,preferred
yellow cornmeal,neutral
yellow onion,preferred
yellow pepper,preferred
yellow squash,preferred
yogurt,preferred
yukon gold potato,neutral
zucchini,preferred
